n	m	alpha	time	num_nodes	num_candidates
2	2	0.5	0.00131	2.0	7.33
2	3	0.5	0.0011	2.0	10.67
2	4	0.5	0.00115	2.0	15.33
2	5	0.5	0.00177	2.0	19.33
2	6	0.1	0.00193	2.0	23.33
2	6	0.3	0.00252	2.0	23.33
2	6	0.5	0.00273	2.0	23.33
3	2	0.5	0.00119	2.0	10.0
3	3	0.5	0.00165	2.0	15.33
3	4	0.5	0.00236	2.0	22.67
3	5	0.5	0.00332	2.0	27.33
3	6	0.1	0.00357	2.0	30.67
3	6	0.3	0.0024	2.0	30.67
3	6	0.5	0.00249	2.0	30.67
4	2	0.5	0.00133	2.67	18.0
4	3	0.5	0.00197	2.67	26.33
4	4	0.5	0.00289	2.33	33.33
4	5	0.5	0.00382	2.33	38.33
4	6	0.1	0.00334	2.0	39.33
4	6	0.3	0.00334	3.0	58.33
4	6	0.5	0.0031	2.33	46.0
5	2	0.5	0.00131	2.67	21.33
5	3	0.5	0.00249	3.33	35.0
5	4	0.5	0.00275	2.67	44.33
5	5	0.5	0.0037	2.67	49.33
5	6	0.1	0.00365	2.0	47.33
5	6	0.3	0.00376	2.0	47.33
5	6	0.5	0.00457	2.0	47.33
6	2	0.1	0.0022	2.0	20.67
6	2	0.3	0.00305	3.33	37.0
6	2	0.5	0.00202	3.33	30.33
6	3	0.1	0.00267	2.0	25.33
6	3	0.3	0.00373	2.67	33.33
6	3	0.5	0.00282	3.0	33.33
6	4	0.1	0.00323	2.0	38.0
6	4	0.3	0.00511	2.67	52.67
6	4	0.5	0.00346	2.33	44.67
6	5	0.1	0.00357	2.0	43.33
6	5	0.3	0.00682	3.33	68.0
6	5	0.5	0.00585	3.33	63.0
6	6	0.1	0.00716	2.0	54.0
6	6	0.3	0.00724	2.0	54.0
6	6	0.5	0.00909	2.67	67.67
