n	m	alpha	time	num_nodes	num_candidates
2	2	0.5	0.00123	1.0	3.33
2	3	0.5	0.0011	1.0	2.67
2	4	0.5	0.00128	1.0	4.0
2	5	0.5	0.00134	1.0	3.33
2	6	0.1	0.00049	0.0	0.0
2	6	0.3	0.00054	0.0	0.0
2	6	0.5	0.00216	1.0	4.0
3	2	0.5	0.00144	1.67	6.0
3	3	0.5	0.00133	2.0	6.67
3	4	0.5	0.00127	2.0	6.33
3	5	0.5	0.00189	1.67	5.67
3	6	0.1	0.00064	0.0	0.0
3	6	0.3	0.00039	0.0	0.0
3	6	0.5	0.00142	1.33	4.67
4	2	0.5	0.00245	2.67	8.33
4	3	0.5	0.00191	1.67	6.0
4	4	0.5	0.00333	2.0	8.33
4	5	0.5	0.0023	2.0	8.0
4	6	0.1	0.00071	0.0	0.0
4	6	0.3	0.00313	2.0	9.33
4	6	0.5	0.00263	2.0	7.33
5	2	0.5	0.00237	3.33	10.33
5	3	0.5	0.0028	2.0	8.67
5	4	0.5	0.00259	3.33	11.67
5	5	0.5	0.00219	2.0	7.33
5	6	0.1	0.00082	0.0	0.0
5	6	0.3	0.00272	2.0	7.33
5	6	0.5	0.00586	2.67	12.33
6	2	0.1	0.00027	0.0	0.0
6	2	0.3	0.00456	6.67	18.33
6	2	0.5	0.00379	4.0	14.33
6	3	0.1	0.00036	0.0	0.0
6	3	0.3	0.00294	3.67	11.67
6	3	0.5	0.00439	3.67	13.33
6	4	0.1	0.00033	0.0	0.0
6	4	0.3	0.00336	4.0	14.67
6	4	0.5	0.00311	2.0	8.33
6	5	0.1	0.00035	0.0	0.0
6	5	0.3	0.00363	3.0	13.67
6	5	0.5	0.00762	4.67	24.67
6	6	0.1	0.0005	0.0	0.0
6	6	0.3	0.00532	2.67	11.0
6	6	0.5	0.00387	2.67	9.33
